"address","count","paperID"
"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Ajmer 305817, Rajasthan, India","1","A0490"
"Indira Gandhi Natl Open Univ IGNOU, Sch Sci, New Delhi 110068, India","1","A0490"
"Govt India, Dept Space, Space Applicat Ctr ISRO, Satellite Rd, Ahmadabad 380015, Gujarat, India","1","A0490"
"PLANEX, Phys Res Lab, Thaltej Campus, Ahmadabad 380059, Gujarat, India","1","A0490"
NA,"2","A2960"
"United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, NL-7500 AA Enschede, Netherlands","1","A1692"
"Ctr Earth Sci Studies, Thiruvananthapuram, Kerala, India","1","A1692"
"Geol Survey India, Thiruvananthapuram, Kerala, India","1","A1692"
NA,"1","A2862"
NA,"1","A2598"
NA,"2","A3048"
"Ambedkar Univ Delhi, Sch Human Ecol, Delhi 110006, India","2","A1692"
"Ambedkar Univ Delhi, Ctr Urban Ecol & Sustainabil CUES, Delhi 110006, India","2","A1692"
"Natl Inst Plant Genome Res, New Delhi 110067, India","1","A1692"
"Banasthali Vidhyapith, Dept Biosci & Biotechnol, Banasthali 304022, Rajasthan, India","2","A2665"
"Sardar Vallabh Bhai Patel Univ Agr & Technol, Dept Biotechnol, Meerut 250110, Uttar Pradesh, India","1","A2665"
"Bihar Agr Univ, Bhagalpur 813210, India","5","A0461"
"Pondicherry Univ, Dept Ecol & Environm Sci, Puducherry 605014, India","2","A2724"
"Bharati Vidyapeeth Inst Environm Educ & Res BVIEE, Pune, Maharashtra, India","3","A1116"
NA,NA,"C0083"
"Uttar Banga Krishi Viswavidyalaya, Dept Forestry, Cooch Behar, W Bengal, India","3","A2665"
"Bidhan Chandra Krishi Viswavidyalaya, Res Directorate, AICRP Groundnut, Nadia, W Bengal, India","1","A2665"
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India","1","A2665"
"Indiana Univ, Ctr Study Inst Populat & Environm Change CIPEC, Bloomington, IN USA","1","A2665"
"Int Crops Res Inst Semi Arid Trop, Greater Hyderabad 502324, Andhra Pradesh, India","6","A1692"
"Osmania Univ, Greater Hyderabad 500007, Andhra Pradesh, India","1","A1692"
"CIMMYT, GCP, Genom Gene Discovery Subprogramme, Mexico City 06600, DF, Mexico","1","A1692"
"Nat Conservat Fdn, Mysore 570002, Karnataka, India","1","A2539"
"Majmaah Univ, Coll Appl Med Sci, Dept Med Lab Sci, Al Majmaah 11952, Saudi Arabia","2","A2665"
"Greenlink Analyt & Res Lab India Private Ltd, Coimbatore 641014, Tamil Nadu, India","1","A2665"
"Periyar Univ, Dept Geol, Salem 636011, India","5","A1535"
"Bharathidasan Univ, Dept Geog, Tiruchirappalli, Tamil Nadu, India","6","A1535"
"Cent Univ Tamil Nadu, Dept Geog, Thiruvarur, India","1","A1535"
"Bharathidasan Univ, Ctr Remote Sensing, Tiruchirappalli, Tamil Nadu, India","1","A1535"
"China Univ Geosci Beijing, Sch Earth Sci & Resources, Beijing, Peoples R China","1","A1535"
"Univ Adelaide, Dept Earth Sci, Adelaide, SA, Australia","1","A1535"
"Curtin Univ, Dept Appl Geol, Miri, Sarawak, Malaysia","1","A1535"
"Univ Teknol Petronas, Dept Geosci, Tronoh, Malaysia","1","A1535"
"Univ Malaysia Terengganu, Kuala Nerus, Terengganu, Malaysia","1","A1535"
"Univ Teknol Petronas, South East Asia Carbonate Res Lab, Tronoh, Malaysia","1","A1535"
NA,NA,"C0273"
"GB Pant Inst Himalayan Environm & Dev, Environm Assessment & Management Div, Almora 263643, Uttarakhand, India","8","A2591"
"Cent Univ South Bihar, Sch Earth Biol & Environm Sci, Ctr Biol Sci Biotechnol, Patna 800014, Bihar, India","2","A0490"
"Cent Univ South Bihar, Ctr Educ Life Sci, Gaya Campus, Gaya 823001, Bihar, India","1","A0490"
"ICAR Natl Inst Biot Stress Management, Baronda Farm, Raipur 493225, Chhattisgarh, India","1","A0490"
"ICAR Indian Inst Wheat & Barley Res, Karnal 132001, Haryana, India","1","A0490"
"ICAR RCER Res Ctr Makhana, Darbhanga 846005, Bihar, India","1","A0490"
NA,"2","A2961"
"ISRO, Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India","4","A2665"
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500625, Andhra Pradesh, India","1","A2665"
"Minist Environm Forest & Climate Change MoEFCC, Natl Ctr Sustainable Coastal Management NCSCM, Anna Univ Campus, Chennai 600025, Tamil Nadu, India","14","A0755"
"Sher E Kashmir Univ Agr Sci & Technol Jammu, Div Entomol, Chatha, India","3","A2347"
"Sathyabama Inst Sci & Technol, Ctr Remote Sensing & Geoinformat, Chennai 600119, Tamil Nadu, India","2","A0926"
NA,NA,"C0135"
NA,NA,"C0238"
"Loyola Coll, Dept Adv Zool & Biotechnol, Chennai, Tamil Nadu, India","2","A1692"
"Salim Ali Ctr Ornithol & Nat Hist, Dept Conservat Biol, Coimbatore, Tamil Nadu, India","1","A1692"
"Univ Mysore, Inst Excellence, Mysore, Karnataka, India","2","A1692"
"Tlemcen Univ, Biol Dept, Tilimsen, Algeria","1","A0490"
"Tlemcen Hosp Algeria, Cardiol Dept, Tilimsen, Algeria","1","A0490"
"Oran Univ, Biol Dept, Oran, Algeria","1","A0490"
"Tlemcen Univ, Biomed Engn Dept, Tilimsen, Algeria","1","A0490"
"Tlemcen Hosp, Biochem Dept, Tilimsen, Algeria","1","A0490"
"Univ Southampton, Geog & Environm, Southampton SO17 1BJ, Hants, England","1","A1341"
"Univ Oxford, Dept Zool, Long Term Ecol Lab, Oxford OX1 3PS, England","3","A1341"
"Kew, Royal Bot Gardens, Richmond TW9 3AE, Surrey, England","2","A1341"
"Open Univ, Dept Geog, Walton Hall, Milton Keynes MK7 6AA, Bucks, England","1","A1341"
"Open Univ, Open Space Res Ctr, Walton Hall, Milton Keynes MK7 6AA, Bucks, England","1","A1341"
"Univ Oxford, Sch Geog & Environm, Oxford OX1 3QY, England","1","A1341"
"Univ Montpellier, Inst Sci Evolut, CNRS, UMR 5554, F-34095 Montpellier, France","1","A1341"
"St Longowal Inst Engn & Technol, Dept Chem Engn, Longowal 148106, Sangrur, India","1","A0990"
"Natl Inst Res TB, 1 Mayor Sathyamoorthy Rd, Chennai 600031, Tamil Nadu, India","1","A1722"
"Inst Publ Hlth, Bangalore 560070, Karnataka, India","1","A1722"
"Univ Cambridge, Dept Med, Hills Rd, Cambridge CB2 0QQ, England","2","A1722"
"Lowell Gen Hosp, 295 Varnum Ave, Lowell, MA 02446 USA","1","A1722"
"Inst Social & Econ Change, Ctr Ecol Econ & Nat Resources, Dr VKRV Rao Rd, Nagarabhavi 560072, Bengaluru, India","2","A1722"
"Leibniz Ctr Agr Landscape Res ZALF, Eberswalder Str 84, D-15374 Muncheberg, Germany","1","A1722"
"Indian Inst Space Sci & Technol, Dept Earth & Space Sci, Trivandrum 695574, Kerala, India","1","A1722"
"Univ Kassel, Organ Plant Prod & Agroecosyst Res Trop & Subtrop, D-37213 Witzenhausen, Germany","2","A1722"
"CSIR, Cent Inst Min & Fuel Res, Environm Management Div, Dhanbad 828108, Bihar, India","5","A2665"
"Inst Engn & Technol, Dept Civil Engn, Lucknow 226001, UP, India","2","A2665"
"Bidhan Chandra Krishi Viswavidyalaya, Kalyani 741235, W Bengal, India","4","A1491"
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500037, Andhra Pradesh, India","3","A2101"
NA,"1","A2935"
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India","2","A1490"
NA,"2","A3294"
"Jawaharlal Nehru Univ, Sch Environm Sci, New Delhi 110067, India","6","A0079"
NA,"1","A3077"
