address,Latitude,Longitude,count,paperID
"Univ Delhi, Dept Bot, Delhi 110007, India",28.688279,77.214811,5,A0490
"Cent Muga & Eri Res & Training Inst, Ladoigarh, Assam, India",26.7221476,94.2302565,2,A0490
"Int Ctr Genet Engn & Biotechnol, New Delhi, India",28.6106974,77.3251177,2,A0490
"Ctr DNA Fingerprinting & Diagnost, Hyderabad, Andhra Pradesh, India",17.393221,78.5576831,1,A0490
"Univ Delhi, Ctr Management Degraded Ecosyst, Delhi 110007, India",28.688279,77.214811,1,A0490
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, Thrissure, Kerala, India",10.5276416,76.2144349,1,A1692
"Indira Gandhi Krishi Vishwavidyalaya, Coll Agr, Dept Forestry, Raipur 492006, CG, India",21.2375704,81.7054549,2,A1692
"Kumaun Univ, Dept Bot, Naini Tal 263001, Uttarakhand, India",29.3911653,79.4459095,1,A1692
"Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India",22.34601,87.2319753,2,A1722
"Vidyasagar Univ, Midnapore, W Bengal, India",22.4319869,87.2978852,3,A1722
"Jadavpur Univ, Kolkata, W Bengal, India",22.4988822,88.3714123,1,A1722
"Odisha Space Applicat Ctr, Bhubaneswar, Odisha, India",20.30751,85.8112209,1,A1722
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India",25.9644427,85.2722472,2,A0490
"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Ajmer 305817, Rajasthan, India",26.4498954,74.6399163,1,A0490
"Indira Gandhi Natl Open Univ IGNOU, Sch Sci, New Delhi 110068, India",28.4820119,77.2170762,1,A0490
"Govt India, Dept Space, Space Applicat Ctr ISRO, Satellite Rd, Ahmadabad 380015, Gujarat, India",23.0277933,72.518888,1,A0490
"PLANEX, Phys Res Lab, Thaltej Campus, Ahmadabad 380059, Gujarat, India",23.0443388,72.4946969,1,A0490
NA,,,2,A2960
"United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, NL-7500 AA Enschede, Netherlands",52.2215372,6.8936619,1,A1692
"Ctr Earth Sci Studies, Thiruvananthapuram, Kerala, India",8.4638692,76.9251903,1,A1692
"Geol Survey India, Thiruvananthapuram, Kerala, India",8.5411697,76.9864221,1,A1692
NA,,,1,A2862
NA,,,1,A2598
NA,,,2,A3048
"Ambedkar Univ Delhi, Sch Human Ecol, Delhi 110006, India",28.6626824,77.2338696,2,A1692
"Ambedkar Univ Delhi, Ctr Urban Ecol & Sustainabil CUES, Delhi 110006, India",28.6626824,77.2338696,2,A1692
"Natl Inst Plant Genome Res, New Delhi 110067, India",28.5306795,77.1664768,1,A1692
"Banasthali Vidhyapith, Dept Biosci & Biotechnol, Banasthali 304022, Rajasthan, India",26.389791,75.8708242,2,A2665
"Sardar Vallabh Bhai Patel Univ Agr & Technol, Dept Biotechnol, Meerut 250110, Uttar Pradesh, India",29.0453587,77.7072588,1,A2665
"Bihar Agr Univ, Bhagalpur 813210, India",25.2376196,87.0507325,5,A0461
"Pondicherry Univ, Dept Ecol & Environm Sci, Puducherry 605014, India",12.0182619,79.8568461,2,A2724
"Bharati Vidyapeeth Inst Environm Educ & Res BVIEE, Pune, Maharashtra, India",18.4602552,73.8521184,3,A1116
NA,,,NA,C0083
"Uttar Banga Krishi Viswavidyalaya, Dept Forestry, Cooch Behar, W Bengal, India",26.4035184,89.3850298,3,A2665
"Bidhan Chandra Krishi Viswavidyalaya, Res Directorate, AICRP Groundnut, Nadia, W Bengal, India",22.9452453,88.5335715,1,A2665
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India",13.0642925,77.6202162,1,A2665
"Indiana Univ, Ctr Study Inst Populat & Environm Change CIPEC, Bloomington, IN USA",39.165325,-86.5263857,1,A2665
"Int Crops Res Inst Semi Arid Trop, Greater Hyderabad 502324, Andhra Pradesh, India",15.9128998,79.7399875,6,A1692
"Osmania Univ, Greater Hyderabad 500007, Andhra Pradesh, India",17.4176446,78.5431066,1,A1692
"CIMMYT, GCP, Genom Gene Discovery Subprogramme, Mexico City 06600, DF, Mexico",19.4276061,-99.1608372,1,A1692
"Nat Conservat Fdn, Mysore 570002, Karnataka, India",12.3319211,76.6268306,1,A2539
"Majmaah Univ, Coll Appl Med Sci, Dept Med Lab Sci, Al Majmaah 11952, Saudi Arabia",25.8758866,45.3730695,2,A2665
"Greenlink Analyt & Res Lab India Private Ltd, Coimbatore 641014, Tamil Nadu, India",11.044802,77.035019,1,A2665
"Periyar Univ, Dept Geol, Salem 636011, India",11.7201211,78.0791873,5,A1535
"Bharathidasan Univ, Dept Geog, Tiruchirappalli, Tamil Nadu, India",10.6779085,78.7445488,6,A1535
"Cent Univ Tamil Nadu, Dept Geog, Thiruvarur, India",10.8152103,79.6365999,1,A1535
"Bharathidasan Univ, Ctr Remote Sensing, Tiruchirappalli, Tamil Nadu, India",10.7778278,78.6957101,1,A1535
"China Univ Geosci Beijing, Sch Earth Sci & Resources, Beijing, Peoples R China",39.991253,116.3471009,1,A1535
"Univ Adelaide, Dept Earth Sci, Adelaide, SA, Australia",-34.920603,138.6062277,1,A1535
"Curtin Univ, Dept Appl Geol, Miri, Sarawak, Malaysia",4.5128342,114.0176403,1,A1535
"Univ Teknol Petronas, Dept Geosci, Tronoh, Malaysia",4.423069,100.993027,1,A1535
"Univ Malaysia Terengganu, Kuala Nerus, Terengganu, Malaysia",5.4052863,103.0876935,1,A1535
"Univ Teknol Petronas, South East Asia Carbonate Res Lab, Tronoh, Malaysia",4.423069,100.993027,1,A1535
NA,,,NA,C0273
"GB Pant Inst Himalayan Environm & Dev, Environm Assessment & Management Div, Almora 263643, Uttarakhand, India",29.6271446,79.5884369,8,A2591
"Cent Univ South Bihar, Sch Earth Biol & Environm Sci, Ctr Biol Sci Biotechnol, Patna 800014, Bihar, India",25.6164189,85.1411084,2,A0490
"Cent Univ South Bihar, Ctr Educ Life Sci, Gaya Campus, Gaya 823001, Bihar, India",24.7912052,84.9973546,1,A0490
"ICAR Natl Inst Biot Stress Management, Baronda Farm, Raipur 493225, Chhattisgarh, India",21.3745783,81.8306334,1,A0490
"ICAR Indian Inst Wheat & Barley Res, Karnal 132001, Haryana, India",29.7029016,76.9919059,1,A0490
"ICAR RCER Res Ctr Makhana, Darbhanga 846005, Bihar, India",26.1889608,85.8639766,1,A0490
NA,,,2,A2961
"ISRO, Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India",27.5705886,80.0981869,4,A2665
"ISRO, Natl Remote Sensing Ctr, Hyderabad 500625, Andhra Pradesh, India",17.385044,78.486671,1,A2665
"Minist Environm Forest & Climate Change MoEFCC, Natl Ctr Sustainable Coastal Management NCSCM, Anna Univ Campus, Chennai 600025, Tamil Nadu, India",13.013487,80.2332271,14,A0755
"Sher E Kashmir Univ Agr Sci & Technol Jammu, Div Entomol, Chatha, India",32.6529152,74.8071132,3,A2347
"Sathyabama Inst Sci & Technol, Ctr Remote Sensing & Geoinformat, Chennai 600119, Tamil Nadu, India",12.8713372,80.222404,2,A0926
NA,,,NA,C0135
NA,,,NA,C0238
"Loyola Coll, Dept Adv Zool & Biotechnol, Chennai, Tamil Nadu, India",13.0615421,80.2342226,2,A1692
"Salim Ali Ctr Ornithol & Nat Hist, Dept Conservat Biol, Coimbatore, Tamil Nadu, India",10.9987598,76.9735322,1,A1692
"Univ Mysore, Inst Excellence, Mysore, Karnataka, India",12.3558876,76.6354054,2,A1692
"Tlemcen Univ, Biol Dept, Tilimsen, Algeria",34.8828864,-1.3166815,1,A0490
"Tlemcen Hosp Algeria, Cardiol Dept, Tilimsen, Algeria",34.8828864,-1.3166815,1,A0490
"Oran Univ, Biol Dept, Oran, Algeria",35.6373208,-0.6150587,1,A0490
"Tlemcen Univ, Biomed Engn Dept, Tilimsen, Algeria",34.8828864,-1.3166815,1,A0490
"Tlemcen Hosp, Biochem Dept, Tilimsen, Algeria",34.8828864,-1.3166815,1,A0490
"Univ Southampton, Geog & Environm, Southampton SO17 1BJ, Hants, England",51.0576948,-1.3080629,1,A1341
"Univ Oxford, Dept Zool, Long Term Ecol Lab, Oxford OX1 3PS, England",51.758052,-1.2549589,3,A1341
"Kew, Royal Bot Gardens, Richmond TW9 3AE, Surrey, England",51.4787438,-0.295573,2,A1341
"Open Univ, Dept Geog, Walton Hall, Milton Keynes MK7 6AA, Bucks, England",52.0249295,-0.7081895,1,A1341
"Open Univ, Open Space Res Ctr, Walton Hall, Milton Keynes MK7 6AA, Bucks, England",52.0249295,-0.7081895,1,A1341
"Univ Oxford, Sch Geog & Environm, Oxford OX1 3QY, England",51.75883,-1.253712,1,A1341
"Univ Montpellier, Inst Sci Evolut, CNRS, UMR 5554, F-34095 Montpellier, France",43.615794,3.8721092,1,A1341
"St Longowal Inst Engn & Technol, Dept Chem Engn, Longowal 148106, Sangrur, India",30.2213855,75.6996642,1,A0990
"Natl Inst Res TB, 1 Mayor Sathyamoorthy Rd, Chennai 600031, Tamil Nadu, India",13.0739281,80.2489993,1,A1722
"Inst Publ Hlth, Bangalore 560070, Karnataka, India",12.9149298,77.5634899,1,A1722
"Univ Cambridge, Dept Med, Hills Rd, Cambridge CB2 0QQ, England",52.205356,0.113168,2,A1722
"Lowell Gen Hosp, 295 Varnum Ave, Lowell, MA 02446 USA",42.6471829,-71.341381,1,A1722
"Inst Social & Econ Change, Ctr Ecol Econ & Nat Resources, Dr VKRV Rao Rd, Nagarabhavi 560072, Bengaluru, India",12.954062,77.513997,2,A1722
"Leibniz Ctr Agr Landscape Res ZALF, Eberswalder Str 84, D-15374 Muncheberg, Germany",52.5158508,14.1129137,1,A1722
