cor.locs,Latitude,Longitude,cor.locs2
"ICAR Cent Marine Fisheries Res Inst, Calicut Res Ctr, West Hill PO, Calicut 673005, Kerala, India.",11.2822586,75.7697399,"ICAR Cent Marine Fisheries Res Inst, Calicut Res Ctr, West Hill PO, Calicut 673005, Kerala, India"
"Natl Remote Sensing Agcy, Dept Space, Govt India, Atmospher Sci Sect, Hyderabad 500037, Andhra Pradesh, India.",15.9128998,79.7399875,"Natl Remote Sensing Agcy, Dept Space, Govt India, Atmospher Sci Sect, Hyderabad 500037, Andhra Pradesh, India"
"Abellon CleanEnergy Ltd, Sangeeta Complex, Ahmadabad 380006, Gujarat, India.",23.0348485,72.5654557,"Abellon CleanEnergy Ltd, Sangeeta Complex, Ahmadabad 380006, Gujarat, India"
"Indian Inst Remote Sensing NRSA, Dept Space, 4 Kalidas Rd,PB 135, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869,"Indian Inst Remote Sensing NRSA, Dept Space, 4 Kalidas Rd,PB 135, Dehra Dun 248001, Uttar Pradesh, India"
"Indian Inst Technol, Ecol Restorat Lab, Dept Environm Sci & Engn, Ctr Min Environm,Indian Sch Mines, Dhanbad 826004, Bihar, India.",23.8529508,86.4288534,"Indian Inst Technol, Ecol Restorat Lab, Dept Environm Sci & Engn, Ctr Min Environm,Indian Sch Mines, Dhanbad 826004, Bihar, India"
NA,,,NA
"Natl Remote Sensing Ctr, Soils & Land Resources Assessment Div, Hyderabad 500037, Andhra Pradesh, India.",15.9128998,79.7399875,"Natl Remote Sensing Ctr, Soils & Land Resources Assessment Div, Hyderabad 500037, Andhra Pradesh, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"ICAR Indian Agr Res Inst, Div Agr Engn, New Delhi 110012, India.",28.6376724,77.1571443,"ICAR Indian Agr Res Inst, Div Agr Engn, New Delhi 110012, India"
"State Forest Res Inst, Orchid Res & Dev Ctr, Itanagar, Arunachal Prade, India.",27.0843682,93.6053163,"State Forest Res Inst, Orchid Res & Dev Ctr, Itanagar, Arunachal Prade, India"
"No Arizona Univ, Coll Engn Forestry & Nat Sci, Sch Forestry, Flagstaff, AZ 86011 USA.",35.1905403,-111.653403,"No Arizona Univ, Coll Engn Forestry & Nat Sci, Sch Forestry, Flagstaff, AZ 86011 USA"
"Wildlife Inst India, Dept Anim Ecol Conservat Biol, Chandrabani POB 18, Dehra Dun 248001, Uttarakhand, India.",30.2834983,77.9735518,"Wildlife Inst India, Dept Anim Ecol Conservat Biol, Chandrabani POB 18, Dehra Dun 248001, Uttarakhand, India"
"Graph Era Hill Univ, Dept Environm Sci, Dehra Dun, Uttarakhand, India.",30.2723733,78.0010035,"Graph Era Hill Univ, Dept Environm Sci, Dehra Dun, Uttarakhand, India"
"Cent Soil & Water Conservat Res & Training Inst, Dehra Dun 248195, Uttar Pradesh, India.",30.3661106,78.0723248,"Cent Soil & Water Conservat Res & Training Inst, Dehra Dun 248195, Uttar Pradesh, India"
"Tamil Nadu Agr Univ, Dept Agr Microbiol, Coimbatore 641003, Tamil Nadu, India.",11.0121706,76.9354212,"Tamil Nadu Agr Univ, Dept Agr Microbiol, Coimbatore 641003, Tamil Nadu, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Kerala Agr Univ, Coll Vet & Anim Sci, Ctr Adv Studies Anim Genet & Breeding, Thrissur, Kerala, India.",10.2246079,76.2720462,"Kerala Agr Univ, Coll Vet & Anim Sci, Ctr Adv Studies Anim Genet & Breeding, Thrissur, Kerala, India"
