cor.locs,Latitude,Longitude,cor.locs2
"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India.",23.8265828,78.7751302,"Dr Harisingh Gour Vishwavidyalaya Cent Univ, Dept Bot, Ecol Lab, Sagar 470003, Madhya Pradesh, India"
"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India.",11.9369401,79.8356517,"CNRS MAEE, French Inst Pondicherry, UMIFRE 21, USR 3330, 11 St Louis St, Pondicherry 605001, India"
"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India.",26.7002961,92.8307601,"Tezpur Univ, Dept Environm Sci, Tezpur 784028, Assam, India"
"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India.",30.3077578,78.0490798,"Wildlife Inst India, Post Box 18, Dehra Dun 248001, Uttarakhand, India"
"Sethupathy Govt Arts Coll, Dept Zool, Ramanathapuram 623502, Tamil Nadu, India.",9.3696451,78.7949004,"Sethupathy Govt Arts Coll, Dept Zool, Ramanathapuram 623502, Tamil Nadu, India"
NA,,,NA
"Madurai Kamaraj Univ, Sch Energy Environm & Nat Resources, Madurai 625021, Tamil Nadu, India.",9.9403922,78.0105374,"Madurai Kamaraj Univ, Sch Energy Environm & Nat Resources, Madurai 625021, Tamil Nadu, India"
"SASTRA Deemed Univ, Ctr Adv Res Environm, Sch Civil Engn, Thanjavur 613401, India.",10.7346273,79.0249516,"SASTRA Deemed Univ, Ctr Adv Res Environm, Sch Civil Engn, Thanjavur 613401, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Mizoram Univ, Dept Biotechnol, Mol Microbiol & Systemat Lab, Mizoram, India.",23.164543,92.9375739,"Mizoram Univ, Dept Biotechnol, Mol Microbiol & Systemat Lab, Mizoram, India"
"Nature Conservancy, 1815 N Lynn St, Arlington, VA 22203 USA.",38.8967169,-77.0705062,"Nature Conservancy, 1815 N Lynn St, Arlington, VA 22203 USA"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"ICMR, Vector Control Res Ctr, Pondicherry 605006, India.",11.9513059,79.7936217,"ICMR, Vector Control Res Ctr, Pondicherry 605006, India"
"Nat Hist Museum, Cromwell Rd, London SW7 5BD, England.",51.4955306,-0.1768635,"Nat Hist Museum, Cromwell Rd, London SW7 5BD, England"
NA,,,NA
"Natl Inst Technol Karnataka Surathkal, Sch Management, Mangalore 575025, Karnataka, India.",13.0270159,74.7892951,"Natl Inst Technol Karnataka Surathkal, Sch Management, Mangalore 575025, Karnataka, India"
"Sardar Swaran Singh Natl Inst Renewable Energy, 12KM Stone,Jalandhar Kapurthala Rd, Kapurthala 144601, Punjab, India.",31.3697019,75.4080482,"Sardar Swaran Singh Natl Inst Renewable Energy, 12KM Stone,Jalandhar Kapurthala Rd, Kapurthala 144601, Punjab, India"
"Mizoram Univ, Pachhunga Univ Coll, Dept Zool, Aizawl 796001, Mizoram, India.",23.7232572,92.7272181,"Mizoram Univ, Pachhunga Univ Coll, Dept Zool, Aizawl 796001, Mizoram, India"
"Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India.",22.6491893,88.3763794,"Indian Stat Inst, 203 Barrackpore Trunk Rd, Kolkata 700108, W Bengal, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India.",29.1503508,75.7057018,"Haryana Agr Univ, Dept Forest, Hisar 125004, Haryana, India"
NA,,,NA
NA,,,NA
"Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China.",21.9353099,101.24881,"Chinese Acad Sci, Ctr Integrat Conservat, Xishuangbanna Trop Bot Garden, Mengla 666303, Yunnan, Peoples R China"
"Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India.",11.430735,76.859174,"Keystone Fdn, The Nilgiris 643217, Tamil Nadu, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India.",9.966688,76.2870113,"Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India"
NA,,,NA
"Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan.",25.4303884,68.2808626,"Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan"
NA,,,NA
"Michigan State Univ, Dept Plant Biol, E Lansing, MI 48824 USA.",42.7228144,-84.474989,"Michigan State Univ, Dept Plant Biol, E Lansing, MI 48824 USA"
NA,,,NA
"Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India.",26.8671761,80.9392066,"Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India"
"Ctr Cellular & Mol Biol, Uppal Rd, Hyderabad 500007, Andhra Pradesh, India.",15.9128998,79.7399875,"Ctr Cellular & Mol Biol, Uppal Rd, Hyderabad 500007, Andhra Pradesh, India"
NA,,,NA
"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India.",25.6091604,91.8971103,"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India"
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
NA,,,NA
"Govt Arts Coll, Chennai, Tamil Nadu, India.",13.0300493,80.2421383,"Govt Arts Coll, Chennai, Tamil Nadu, India"
"Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India.",11.0927309,76.7869297,"Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India"
"Indian Grassland & Fodder Res Inst, Jhansi 284003, Uttar Pradesh, India.",25.5113086,78.5337261,"Indian Grassland & Fodder Res Inst, Jhansi 284003, Uttar Pradesh, India"
"Birbal Sahni Inst Paleobot, Quaternary Palynol Lab, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India.",26.8671761,80.9392066,"Birbal Sahni Inst Paleobot, Quaternary Palynol Lab, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India"
"World Agroforestry Ctr ICRAF, East & Cent Asia Reg, Ctr Mt Ecosyst Studies, Kunming 650201, Peoples R China.",24.89985,102.95301,"World Agroforestry Ctr ICRAF, East & Cent Asia Reg, Ctr Mt Ecosyst Studies, Kunming 650201, Peoples R China"
"Indian Inst Remote Sensing, Natl Remote Sensing Agcy, 4 Kalidas Rd,PB 135, Dehra Dun 248001, Uttar Pradesh, India.",27.5705886,80.0981869,"Indian Inst Remote Sensing, Natl Remote Sensing Agcy, 4 Kalidas Rd,PB 135, Dehra Dun 248001, Uttar Pradesh, India"
