"","cor.locs","Latitude","Longitude","cor.locs2"
"438","Natl Ctr Biol Sci, Postgrad Program Wildlife Biol & Conservat, GKVK Campus,Bellary Rd, Bangalore 560065, Karnataka, India.",NA,NA,"Natl Ctr Biol Sci, Postgrad Program Wildlife Biol & Conservat, GKVK Campus,Bellary Rd, Bangalore 560065, Karnataka, India"
"439","Indian Inst Technol, Dept Civil Engn, Geomat Grp, Roorkee 247667, Uttar Pradesh, India.",NA,NA,"Indian Inst Technol, Dept Civil Engn, Geomat Grp, Roorkee 247667, Uttar Pradesh, India"
"440",NA,NA,NA,NA
"441",NA,NA,NA,NA
"442","Dr Yashwant Singh Parmar Univ Hort & Forestry, Microbiol Sect, Dept Basic Sci, Solan 173230, HP, India.",NA,NA,"Dr Yashwant Singh Parmar Univ Hort & Forestry, Microbiol Sect, Dept Basic Sci, Solan 173230, HP, India"
"443",NA,NA,NA,NA
"444",NA,NA,NA,NA
"445",NA,NA,NA,NA
"451",NA,NA,NA,NA
"454",NA,NA,NA,NA
"456",NA,NA,NA,NA
"457","Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales.",NA,NA,"Bangor Univ, Sch Environm Nat Resources & Geog SENRGY, Bangor LL57 2UW, Gwynedd, Wales"
"458","Tata Inst Fundamental Res, Natl Ctr Biol Sci, Bellary Rd, Bangalore 560065, Karnataka, India.",NA,NA,"Tata Inst Fundamental Res, Natl Ctr Biol Sci, Bellary Rd, Bangalore 560065, Karnataka, India"
"459","ICAR Indian Inst Soil & Water Conservat, Res Ctr, Sect 27A, Chandigarh 160019, India.",NA,NA,"ICAR Indian Inst Soil & Water Conservat, Res Ctr, Sect 27A, Chandigarh 160019, India"
"460","NE Hill Univ, Ctr Ecodev, Shillong 793014, Meghalaya, India.",NA,NA,"NE Hill Univ, Ctr Ecodev, Shillong 793014, Meghalaya, India"
"461","Kansas State Univ, Dept Plant Pathol, Throckmorton Hall, Manhattan, KS 66506 USA.",NA,NA,"Kansas State Univ, Dept Plant Pathol, Throckmorton Hall, Manhattan, KS 66506 USA"
"462","Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, Pondicherry 605014, India.",NA,NA,"Pondicherry Univ, Sch Life Sci, Dept Ecol & Environm Sci, Pondicherry 605014, India"
"463","Greeley Mem Lab, 370 Prospect St, New Haven, CT 06511 USA.",NA,NA,"Greeley Mem Lab, 370 Prospect St, New Haven, CT 06511 USA"
"464","ZARS RVS Krishi Vishwa Vidyalaya, Morena, India.",NA,NA,"ZARS RVS Krishi Vishwa Vidyalaya, Morena, India"
"465","Indian Inst Technol Kharagpur, Agr & Food Engn Dept, Kharagpur 721302, W Bengal, India.",NA,NA,"Indian Inst Technol Kharagpur, Agr & Food Engn Dept, Kharagpur 721302, W Bengal, India"
"466","Goa Univ, Sch Earth Ocean & Atmospher Sci, Taleigao, Goa, India.",NA,NA,"Goa Univ, Sch Earth Ocean & Atmospher Sci, Taleigao, Goa, India"
"467","GB Pant Natl Inst Himalayan Environm & Sustainabl, Sikkim Unit, Gangtok 737101, Sikkim, India.",NA,NA,"GB Pant Natl Inst Himalayan Environm & Sustainabl, Sikkim Unit, Gangtok 737101, Sikkim, India"
"468","Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, Madhya Pradesh, India.",NA,NA,"Indian Inst Soil Sci, Berasia Rd, Bhopal 462038, Madhya Pradesh, India"
"476",NA,NA,NA,NA
"478",NA,NA,NA,NA
"481",NA,NA,NA,NA
"496",NA,NA,NA,NA
"499",NA,NA,NA,NA
"507","Punjab Agr Univ, Dept Forestry & Nat Resources, Ludhiana 141004, Punjab, India.",NA,NA,"Punjab Agr Univ, Dept Forestry & Nat Resources, Ludhiana 141004, Punjab, India"
"508","Forest Res Inst, Dehra Dun 248006, Uttarakhand, India.",NA,NA,"Forest Res Inst, Dehra Dun 248006, Uttarakhand, India"
"509","Bangalore Univ, Dept Studies Zool, Jnana Bharathi Campus, Bengaluru 560056, Karnataka, India.",NA,NA,"Bangalore Univ, Dept Studies Zool, Jnana Bharathi Campus, Bengaluru 560056, Karnataka, India"
"510","Amity Univ, Amity Inst Global Warming & Ecol Studies, Noida, India.",NA,NA,"Amity Univ, Amity Inst Global Warming & Ecol Studies, Noida, India"
"513",NA,NA,NA,NA
"514",NA,NA,NA,NA
"522",NA,NA,NA,NA
"523",NA,NA,NA,NA
"524",NA,NA,NA,NA
"525",NA,NA,NA,NA
"526",NA,NA,NA,NA
