"","address","count","paperID","Latitude","Longitude"
"834","Abellon CleanEnergy Ltd, Sangeeta Complex, Ahmadabad 380006, Gujarat, India","3","A2665",NA,NA
"835","Hemchandracharya North Gujarat Univ, Dept Biotechnol, Univ Rd, Patan 384265, Gujarat, India","1","A2665",NA,NA
"836",NA,"1","A3036",NA,NA
"837","Indian Inst Technol, Ecol Restorat Lab, Dept Environm Sci & Engn, Ctr Min Environm,Indian Sch Mines, Dhanbad 826004, Bihar, India","2","A0445",NA,NA
"838",NA,NA,"C0070",NA,NA
"839","Natl Remote Sensing Ctr, Soils & Land Resources Assessment Div, Hyderabad 500037, Andhra Pradesh, India","5","A1524",NA,NA
"841","Indian Inst Remote Sensing, Agr & Soil Div, Dehra Dun, Uttarakhand, India","1","A1524",NA,NA
"842","Natl Remote Sensing Ctr, Watershed Monitoring & Rural Dev Div, Hyderabad 500037, Andhra Pradesh, India","1","A1524",NA,NA
"843","Natl Remote Sensing Ctr, Land Resources Use & Monitoring Grp, Hyderabad 500037, Andhra Pradesh, India","1","A1524",NA,NA
"844",NA,NA,"C0054",NA,NA
"849",NA,NA,"A3295",NA,NA
"850",NA,NA,"A3255",NA,NA
"856",NA,NA,"A3302",NA,NA
"857",NA,"3","A3168",NA,NA
"858",NA,NA,"B0004",NA,NA
"876",NA,"2","A2866",NA,NA
"877",NA,"1","A3207",NA,NA
"888",NA,"1","A2804",NA,NA
"889",NA,NA,"C0258",NA,NA
"893",NA,NA,"C0211",NA,NA
"894",NA,NA,"C0140",NA,NA
"904",NA,NA,"C0143",NA,NA
"905",NA,"2","A2976",NA,NA
"912",NA,"2","A2996",NA,NA
"919",NA,NA,"C0179",NA,NA
"926",NA,"1","A3141",NA,NA
"933",NA,"1","A2841",NA,NA
"949",NA,NA,"C0229",NA,NA
"962",NA,NA,"C0240",NA,NA
"965",NA,NA,"B0007",NA,NA
"972",NA,NA,"C0283",NA,NA
"973",NA,"2","A3226",NA,NA
"974",NA,NA,"B0018",NA,NA
"975",NA,"1","A2474",NA,NA
