"cor.locs"
"Natl Inst Technol, Dept Appl Geol, Raipur, CG, India."
"Infosys Ltd, Hyderabad, India."
"CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India."
"Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India."
"Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India."
"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China."
"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China."
NA
"Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India."
"Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India."
"Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA."
"Univ Agr Sci Bangalore, GKVK, Div Hort, Plant Mol Biol Lab, Bangalore 560065, Karnataka, India."
"Salim Ali Ctr Ornithol & Nat Hist, 12-13-588-B, Hyderabad 500017, Andhra Pradesh, India."
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India."
"Dr Hari Singh Gour Vishwavidyalaya, Forest Ecol & Ecosyst Lab, Dept Bot, Sagar 470003, Madhya Pradesh, India."
"CSKHPKV, Dept Plant Breeding & Genet, FPGMC, Palampur 176062, Himachal Prades, India."
"Univ Sheffield, Dept Anim & Plant Sci, Western Bank, Sheffield S10 2TN, S Yorkshire, England."
"Indian Agr Res Inst, Div Fruits & Hort Technol, New Delhi 110012, India."
"Mizoram Univ, Dept Bot, Aizawl, Mizoram, India."
"Natl Bot Res Inst, Biomass Biol Div, 1 Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India."
"Panjab Univ, Dept Bot, Chandigarh 160014, India."
"Jawaharlal Nehru Univ, Sch Life Sci, Natl Ctr Appl Human Genet, New Delhi 110067, India."
"Mizoram Univ, Dept Forestry, Aizawl 796004, India."
NA
"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan."
"WWF INDIA,IGCMC,172-B,LODI ESTATE,NEW DELHI 110003,INDIA."
NA
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India."
"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada."
"Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India."
NA
"Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India."
"China Med Univ, Dept Med Lab Sci & Biotechnol, 91 Hsueh Shih Rd, Taichung 404, Taiwan."
NA
NA
"Vimix Solut Private Ltd, Dehra Dun 248001, India."
"Indian Inst Technol Kharagpur, Ctr Oceans Rivers Atmosphere & Land Sci, Kharagpur 721302, W Bengal, India."
"Polish Acad Sci, Dept Geoenvironm Res, Inst Geog & Spatial Org, Jana 22, PL-31018 Krakow, Poland."
"Indian Inst Soil Sci, Nabibagh,Berasia Rd, Bhopal 462038, India."
NA
"Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India."
NA
NA
NA
"IIT Kanpur, Ctr Environm Sci & Engn CESE, Atmospher Particle Technol Lab, Kanpur 208016, Uttar Pradesh, India."
"Wildlife Inst India, Dept Ecodev Planning & Participatory Management, Dehra Dun, India."
"Univ Delhi, Dept Bot, Delhi 110007, India."
"Kumaun Univ, Dept Bot, DSB Campus, Naini Tal 263001, Uttarakhand, India."
"Vidyasagar Univ, Midnapore, W Bengal, India."
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India."
"North Eastern Reg Inst Sci & Technol, Dept Forestry, Restorat Ecol Lab, Nirjuli 791109, Arunachal Prade, India."
"United Nations Univ, ITC Sch Disaster Geoinformat Management, Int Inst Geoinformat Sci & Earth Observat ITC, Hengelosestr 99,POB 6, NL-7500 AA Enschede, Netherlands."
"Berhampur Univ, Dept Bot, Ecol & Florist Lab, Berhampur 760007, Orissa, India."
"Swedish Univ Agr Sci, Dept Urban & Rural Dev, Box 7012, SE-75007 Uppsala, Sweden."
"Aligarh Muslim Univ, Dept Wildlife Sci, Aligarh 202002, Uttar Pradesh, India."
"Natl Inst Plant Genome Res, New Delhi 110067, India."
"Banasthali Vidhyapith, Dept Biosci & Biotechnol, Banasthali 304022, Rajasthan, India."
"Bihar Agr Univ, Bhagalpur 813210, India."
"Pondicherry Univ, Dept Ecol & Environm Sci, Puducherry 605014, India."
"Bharati Vidyapeeth Inst Environm Educ & Res BVIEE, Pune, Maharashtra, India."
NA
"Uttar Banga Krishi Viswavidyalaya, Dept Forestry, Cooch Behar, W Bengal, India."
"IIT Kharagpur, CORAL, Kharagpur, India."
"PURDUE UNIV, DEPT FORESTRY & NAT RESOURCES, 1159 FORESTRY BLDG, W LAFAYETTE, IN 47907 USA."
"Birbal Sahni Inst Paleobot, Quaternary Palynol Dept, 53 Univ Rd, Lucknow 226007, Uttar Pradesh, India."
"Natl Res Ctr Agroforestry, Near Pahuj Dam,Gwalior Rd, Jhansi 284003, Uttar Pradesh, India."
"Univ Kerala, Accredited Ctr Res, Jawaharlal Nehru Trop Bot Garden & Res Inst JNTBG, Biotechnol & Bioinformat Div, Thiruvananthapuram 695562, Kerala, India."
"CSIR Natl Bot Res Inst NBRI, Bot Garden Div, Rana Pratap Marg, Lucknow 226001, Uttar Pradesh, India."
NA
"Indian Inst Technol, Indian Sch Mines, Dept Appl Geol, Coal Geol & Organ Petrol Lab, Dhanbad 826004, Jharkhand, India."
"Sheikh ul Aalam Mem SAM Govt Degree Coll, Dept Bot, Budgam Kashmir 191111, J&K, India."
"Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India."
"Inst Wood Sci & Technol, 18th Cross, Bangalore 560003, Karnataka, India."
"DDU Gorakhpur Univ, Dept Bot, Plant Ecol Lab, Gorakhpur 273009, Uttar Pradesh, India."
"Indian Inst Sci, Ctr Ecol Sci, Bangalore 560012, Karnataka, India."
"NIMR, Sector 8, New Delhi 110077, India."
"Ashoka Trust Res Ecol & Environm, Jakkur PO, Bangalore 560064, Karnataka, India."
NA
"Univ Fed Parana, Dept Bot, Caixa Postal 19031, BR-81531980 Curitiba, PR, Brazil."
"Manipur Univ, Dept Life Sci, Imphal 795003, Manipur, India."
"Int Crops Res Inst Semi Arid Trop, Greater Hyderabad 502324, Andhra Pradesh, India."
"Natl Bur Plant Genet Resources, Pusa Campus, New Delhi 110012, India."
"Cent Food Technol Res Inst, Fermentat Technol & Bio Engn Dept, Mysore 500020, Karnataka, India."
"SUNY Coll Environm Sci & Forestry, Dept Environm & Forest Biol, 1 Forestry Dr, Syracuse, NY 13210 USA."
"Majmaah Univ, Coll Appl Med Sci, Dept Med Lab Sci, Al Majmaah 11952, Saudi Arabia."
"Periyar Univ, Dept Geol, Salem 636011, India."
NA
"GB Pant Inst Himalayan Environm & Dev, Environm Assessment & Management Div, Almora 263643, Uttarakhand, India."
"Cent Univ South Bihar, Sch Earth Biol & Environm Sci, Ctr Biol Sci Biotechnol, Patna 800014, Bihar, India."
"Govt India, Dept Space, Natl Remote Sensing Agcy, Hyderabad 500037, Andhra Pradesh, India."
"ISRO, Indian Inst Remote Sensing, Dehra Dun 248001, Uttar Pradesh, India."
"Minist Environm Forest & Climate Change MoEFCC, Natl Ctr Sustainable Coastal Management NCSCM, Anna Univ Campus, Chennai 600025, Tamil Nadu, India."
"Sher E Kashmir Univ Agr Sci & Technol Jammu, Div Entomol, Chatha, India."
"Sathyabama Inst Sci & Technol, Ctr Remote Sensing & Geoinformat, Chennai 600119, Tamil Nadu, India."
NA
NA
"Univ Mysore, Inst Excellence, Mysore, Karnataka, India."
"Tlemcen Univ, Biol Dept, Tilimsen, Algeria."
"Univ Oxford, Dept Zool, Long Term Ecol Lab, Oxford OX1 3PS, England."
"St Longowal Inst Engn & Technol, Dept Chem Engn, Longowal 148106, Sangrur, India."
"Natl Inst Res TB, 1 Mayor Sathyamoorthy Rd, Chennai 600031, Tamil Nadu, India."
"Manonmaniam Sundaranar Univ, Sri Paramakalyani Ctr Environm Sci, Environm Nanotechnol Div, Alwarkurichi 627412, Tamil Nadu, India."
"Natl Tiger Conservat Author, New Delhi 110011, India."
NA
