address,Latitude,Longitude,count,paperID,Latitude,Longitude
NA,,,1,A3078,,
NA,,,3,A3020,,
NA,,,NA,C0348,,
NA,,,1,A2914,,
NA,,,1,A2601,,
NA,,,NA,C0222,,
NA,,,3,A2951,,
NA,,,1,A3172,,
NA,,,NA,C0226,,
NA,,,NA,C0106,,
NA,,,NA,C0017,,
NA,,,NA,C0076,,
NA,,,3,A2792,,
NA,,,1,A2899,,
NA,,,NA,C0190,,
NA,,,NA,C0059,,
NA,,,NA,A3241,,
NA,,,1,A3022,,
NA,,,NA,C0055,,
NA,,,NA,B0002,,
"ICAR Cent Marine Fisheries Res Inst, Calicut Res Ctr, West Hill PO, Calicut 673005, Kerala, India",11.2822586,75.7697399,5,A2665,,
"Cent Marine Fisheries Res Inst, Ernakulam North PO, Kochi 682018, Kerala, India",9.9878439,76.281121,2,A2665,,
NA,,,1,A2795,,
"Abellon CleanEnergy Ltd, Sangeeta Complex, Ahmadabad 380006, Gujarat, India",23.0348485,72.5654557,3,A2665,,
"Hemchandracharya North Gujarat Univ, Dept Biotechnol, Univ Rd, Patan 384265, Gujarat, India",23.8595527,72.1343738,1,A2665,,
NA,,,1,A3036,,
"Indian Inst Technol, Ecol Restorat Lab, Dept Environm Sci & Engn, Ctr Min Environm,Indian Sch Mines, Dhanbad 826004, Bihar, India",23.8529508,86.4288534,2,A0445,,
NA,,,NA,C0070,,
"Natl Remote Sensing Ctr, Soils & Land Resources Assessment Div, Hyderabad 500037, Andhra Pradesh, India",15.9128998,79.7399875,5,A1524,,
"Indian Inst Remote Sensing, Agr & Soil Div, Dehra Dun, Uttarakhand, India",30.3412185,78.0471393,1,A1524,,
"Natl Remote Sensing Ctr, Watershed Monitoring & Rural Dev Div, Hyderabad 500037, Andhra Pradesh, India",15.9128998,79.7399875,1,A1524,,
"Natl Remote Sensing Ctr, Land Resources Use & Monitoring Grp, Hyderabad 500037, Andhra Pradesh, India",15.9128998,79.7399875,1,A1524,,
NA,,,NA,C0054,,
NA,,,NA,A3295,,
NA,,,NA,A3255,,
NA,,,NA,A3302,,
NA,,,3,A3168,,
NA,,,NA,B0004,,
NA,,,2,A2866,,
NA,,,1,A3207,,
NA,,,1,A2804,,
NA,,,NA,C0258,,
NA,,,NA,C0211,,
NA,,,NA,C0140,,
NA,,,NA,C0143,,
NA,,,2,A2976,,
NA,,,2,A2996,,
NA,,,NA,C0179,,
NA,,,1,A3141,,
NA,,,1,A2841,,
NA,,,NA,C0229,,
NA,,,NA,C0240,,
NA,,,NA,B0007,,
NA,,,NA,C0283,,
NA,,,2,A3226,,
NA,,,NA,B0018,,
NA,,,1,A2474,,
NA,,,NA,B0022,,
NA,,,1,A3228,,
NA,,,NA,C0005,,
NA,,,NA,C0015,,
"Mansoura Univ, Fac Agr, Agr Engn Dept, Mansoura 35516, Egypt",31.0448903,31.3536867,1,A2450,,
"ICAR Indian Agr Res Inst, Div Agr Engn, New Delhi 110012, India",28.6376724,77.1571443,2,A2450,,
"GB Pant Univ Agr & Technol, Dept Irrigat & Drainage Engn, Pantnagar 263145, Uttarakhand, India",29.0202741,79.4647633,1,A2450,,
"Catholic Univ Bukavu, Fac Agron Sci, Bukavu, Rep Congo",-2.5123017,28.8480284,1,A2450,,
"Sandip Univ, SMTS Agr Sci, Madhubani 847235, Bihar, India",26.3506102,86.2405787,1,A2450,,
"Univ Illinois, Agroecosyst Sustainabil Ctr, Inst Sustainabil Energy & Environm, Urbana, IL USA",40.1105875,-88.2072697,1,A2450,,
"St Gadge Baba Amravati Univ, Dept Geol, Amravati 444602, Maharashtra, India",20.938967,77.7995126,1,A2450,,
"Univ Mumbai, Dept Geog, Malina Campus, Mumbai 400098, Maharashtra, India",19.0727182,72.8586848,1,A2450,,
"Water Resources & Appl Math Res Lab, Nagpur 440027, Maharashtra, India",21.1041576,79.0927484,1,A2450,,
"Punjab Agr Univ, Dept Soil & Water Conservat Engn, Ludhiana 141004, Punjab, India",30.8996258,75.8047678,1,A2450,,
"Shoolini Univ, Civil Engn Dept, Solan 173229, Himachal Prades, India",30.8643599,77.1184188,2,A2450,,
"Zagazig Univ, Fac Engn, Water & Water Struct Engn Dept, Zagazig 44519, Egypt",30.5765383,31.5040656,1,A2450,,
"State Forest Res Inst, Orchid Res & Dev Ctr, Itanagar, Arunachal Prade, India",27.0843682,93.6053163,1,A0937,,
"No Arizona Univ, Coll Engn Forestry & Nat Sci, Sch Forestry, Flagstaff, AZ 86011 USA",35.1905403,-111.653403,3,A1195,,
"Wildlife Inst India, Dept Anim Ecol Conservat Biol, Chandrabani POB 18, Dehra Dun 248001, Uttarakhand, India",30.2834983,77.9735518,2,A0652,,
"Graph Era Hill Univ, Dept Environm Sci, Dehra Dun, Uttarakhand, India",30.2723733,78.0010035,1,A2665,,
"Gurukula Kangri Univ, Dept Zool & Environm Sci, Avian Divers & Bioacoust Lab, Haridwar 249404, Uttarakhand, India",29.8856108,78.1222336,1,A2665,,
NA,,,1,A3155,,
"Univ Kwazulu Natal, Sch Agr Earth & Environm Sci, ZA-4041 Pietermaritzburg, South Africa",-29.6006068,30.3794118,1,A2665,,
"Tamil Nadu Agr Univ, Dept Agr Microbiol, Coimbatore 641003, Tamil Nadu, India",11.0121706,76.9354212,6,A1722,,
"Aban Infrastruct Pvt Ltd, Biotechnol Div, 113 Pantheon Rd, Madras 600008, Tamil Nadu, India",13.0697121,80.2574122,1,A1722,,
"Tamil Nadu Agr Univ, Forest Coll, Mettupalayam 641301, Tamil Nadu, India",11.3027849,76.9383385,1,A1722,,
"Tamil Nadu Agr Univ, Res Inst, Mettupalayam 641301, Tamil Nadu, India",11.3027849,76.9383385,1,A1722,,
NA,,,1,A3326,,
NA,,,NA,C0009,,
NA,,,NA,C0061,,
NA,,,NA,C0210,,
NA,,,NA,C0020,,
NA,,,NA,B0005,,
NA,,,NA,B0003,,
NA,,,1,A3094,,
NA,,,NA,C0345,,
NA,,,NA,A3331,,
NA,,,NA,B0026,,
NA,,,3,A3184,,
NA,,,4,A2872,,
NA,,,2,A2920,,
NA,,,NA,C0029,,
NA,,,1,A3249,,
NA,,,NA,C0051,,
NA,,,3,A3109,,
NA,,,2,A3024,,
NA,,,3,A2825,,
NA,,,NA,A3243,,
NA,,,1,A3072,,
NA,,,NA,B0014,,
NA,,,NA,C0033,,
NA,,,3,A3210,,
NA,,,2,A2772,,
"Ctr Environm Planning & Technol CEPT Univ, Ahmadabad 380009, Gujarat, India",23.0371184,72.5489122,2,A1692,,
"Govt India, Dept Space, Indian Space Res Org, IIRS, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India",30.3407597,78.0440265,3,A1692,,
"Univ Hyderabad, Univ Ctr Earth & Space Sci, Prof CR Rao Rd, Hyderabad 500046, Andhra Pradesh, India",15.9128998,79.7399875,1,A1692,,
"Veer Chandra Singh Garhwali Uttarakhand Univ Hort, Coll Forestry, Ranichauri 249199, India",30.3110779,78.4096036,6,A2665,,
"Indira Gandhi Natl Tribal Univ, Dept Environm Sci, Amarkantak 484887, India",22.6822292,81.7532219,1,A2665,,
"French Inst Pondicherry, UMIFRE 21, USR 3330, CNRS MAEE, Pondicherry, India",11.9415915,79.8083133,7,A1524,,
"Univ Guyane, Univ Antilles, INRAE, CNRS,UMR EcoFoG,Agroparistech,Cirad, Kourou, French Guiana",3.933889,-53.125782,1,A1524,,
"Univ Montpellier, AMAP, IRD, CNRS,CIRAD,INRA, Montpellier, France",43.617897,3.8570839,1,A1524,,
"Indian Space Res Org, Natl Remote Sensing Ctr, Hyderabad, India",17.385044,78.486671,1,A1524,,
"Univ Grenoble Alpes, Lab Interdisciplinaire Phys, Grenoble, France",45.1915639,5.7672336,1,A1524,,
"NIT, Dept Biotechnol, Yupia 791112, Arunachal Prade, India",27.1465064,93.7193936,2,A2665,,
"Rajiv Gandhi Univ, Dept Bot, Ctr Potential Excellence Biodivers, Higher Plant Div & Validat Unit, Rono Hills, Doimukh 791112, Arunachal Prade, India",27.1518218,93.7551208,1,A2665,,
"Wageningen Univ, Forest & Nat Conservat Policy Grp, NL-6700 AP Wageningen, Netherlands",51.9812239,5.6584157,3,A1692,,
"Univ Utrecht, Copernicus Inst Susthinable Dev, NL-3508 TC Utrecht, Netherlands",52.0907374,5.1214201,1,A1692,,
"Wageningen Univ, Strateg Commun Grp, NL-6700 AP Wageningen, Netherlands",51.9812239,5.6584157,1,A1692,,
NA,,,1,A2493,,
NA,,,NA,C0200,,
NA,,,NA,C0162,,
NA,,,5,A3152,,
NA,,,1,A2910,,
NA,,,1,A3196,,
NA,,,NA,C0117,,
NA,,,NA,C0228,,
NA,,,NA,C0284,,
NA,,,NA,C0259,,
NA,,,NA,C0014,,
NA,,,NA,C0182,,
NA,,,NA,C0180,,
NA,,,NA,C0008,,
NA,,,NA,C0037,,
NA,,,3,A2929,,
NA,,,NA,C0006,,
NA,,,1,A2934,,
NA,,,2,A2847,,
NA,,,NA,C0086,,
NA,,,1,A2749,,
NA,,,3,A2850,,
NA,,,1,A3088,,
NA,,,1,A3067,,
NA,,,NA,C0223,,
NA,,,NA,B0012,,
NA,,,1,A3256,,
"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Remote Sensing & GIS Lab, NH-8, Ajmer 305817, Rajasthan, India",26.7451371,75.3538913,2,A0114,,
"Univ Gottingen, Dept Forest Genet & Forest Tree Breeding, Busgenweg 2, D-37077 Gottingen, Germany",51.5579429,9.9578779,3,A1692,,
"Forest Res Inst, Forest Bot & Tree Improvement Sect, Yezin 05282, Nay Pyi Taw, Myanmar",19.8436632,96.2788572,1,A1692,,
"Michigan Technol Univ, Sch Forest Resources & Environm Sci, 1400 Townsend Dr, Houghton, MI 49931 USA",47.1196551,-88.5482234,1,A1692,,
"China Univ Min & Technol, State Key Lab Coal Resources & Safe Min, Xuzhou, Jiangsu, Peoples R China",34.2043999,117.28577,3,A3105,,
"Nat Hist Museum, Dept Earth Sci, Cromwell Rd, London SW7 5BD, England",51.4955306,-0.1768635,1,A3105,,
"China Univ Min & Technol, Sch Resources & Geosci, Xuzhou 221116, Jiangsu, Peoples R China",34.2006442,117.4732571,1,A3105,,
"China Univ Min & Technol, Coll Geosci & Survey Engn, Beijing 100083, Peoples R China",39.9911599,116.3534999,1,A3105,,
"Chinese Acad Sci, Inst Geol & Geophys, Beijing, Peoples R China",39.904211,116.407395,1,A3105,,
"Univ Nottingham, Dept Chem & Environm Engn, Nottingham Rd, Nottingham, England",52.9387922,-1.1981057,1,A3105,,
"Univ New South Wales, Sch Biol Earth & Environm Sci, Sydney, NSW, Australia",-33.8688197,151.2092955,1,A3105,,
"CSIR, Acad Sci & Innovat Res, New Delhi 110001, India",28.6184547,77.2120814,3,A2665,,
"CSIR Indian Inst Toxicol Res, Div Environm Chem, Lucknow 226001, Uttar Pradesh, India",26.8537051,80.9484195,3,A2665,,
NA,,,1,A2837,,
"Abasaheb Garware Coll, Annasaheb Kulkarni Dept Biodivers, Pune 4, Maharashtra, India",18.5116964,73.8391238,1,A1692,,
"Abasaheb Garware Coll, Dept Zool, Pune 4, Maharashtra, India",18.5116964,73.8391238,1,A1692,,
"Modern Coll, Dept Zool, Pune 5, Maharashtra, India",18.5262182,73.8453756,1,A1692,,
NA,,,2,A3112,,
NA,,,1,A3027,,
NA,,,NA,C0058,,
NA,,,1,A2863,,
NA,,,NA,B0016,,
NA,,,NA,C0137,,
NA,,,NA,B0023,,
NA,,,NA,C0132,,
NA,,,3,A3044,,
NA,,,NA,C0010,,
NA,,,2,A3004,,
"ICAR Complex NEH Reg, Umiam 793103, Meghalaya, India",25.6768054,91.9270246,10,A2692,,
"Kisan PG Coll, Post Grad Dept Bot, Bahraich 271801, Uttar Pradesh, India",27.56153,81.5871461,2,A2741,,
"CSIR Cent Inst Min & Fuel Res, Environm Management Div, Digwadih Campus,PO FRI, Dhanbad 828108, Jharkhand, India",23.7066203,86.4132148,3,A1576,,
NA,,,NA,C0130,,
